NO,sentence,aspect_label_id,senti_label,risk_label_id
16,上次去一朋友那，朋友请我去吃饭。离这家店挺进的就直接过去了。里面的环境很压抑，菜也感觉不新鲜。今天看到他的店，忍不住要投诉下！,1,"1,1,1,1,1,1,1,1",0
17,这家店就在我家小区旁边，方便得很，所以经常去光顾。我常点的是烤羊肉串还有牛蛙锅和羊蝎子锅。 但是很奇怪的是，我每次吃了牛蛙锅都会有一点拉肚子。。。个人觉得可能是肠胃对那里面的辣还不是特别适应的关系。倒并不是因为那个不卫生。,2,"1,1,1,1,1,1,1,0",1
18,据说是江苏驻京办 找了半天 这附近还有个江苏饭店可到哪人家都说不知道哪里江苏办在哪 郁闷哈~不过做了这家功课 就既来之则安之~ 店在一楼 进去以后现实感觉暗 不过环境还是很静雅的 也有着些古朴的感觉 摆置 餐台 都很干净利落 服务也算周到 接下来就开吃~ 清炖狮子头15 汤汁清丽略带油花 看上去就不错 但是！狮子头嫩且鲜不过太肥了 苍蝇头大小的肥肉丁层峦叠现 虽然入口即化 但是肥腻油腥的感觉久久挥之不去 打这个菜开始一直就腻劲不下去~ 茨菰烧肉38 茨菰还可以沙口甘甜 菜整体码味很淡 基本烧的味道失掉了 且烧肉不是很酥烂 肥肉本就多 而且会很腻~ 大煮干丝28 汤汁稠滑细润 味道也浓且鲜 煮干丝很入味虽软烂但不是弹性 还可以~ 梁溪脆鳝26 最为凉菜上来滴 很赞 鳝鱼制作干而不硬酥松甜香可口 去掉了腥味 甜而不腻 口感松脆 味香浓 越嚼越香 大爱之~ 阳春面（中碗）10??汤汁清利 面酥软滑 味淡清爽 镇江汤包30 包子个头适中 肉馅比较鲜嫩 就是汤汁甚少 且稍稍有点腻 无锡排骨58 排骨入味深厚 肉质不是很烂有嚼头 下酒合适越嚼越香 烧卖12 糯米烧卖 味道不错 咸甜适口微微的有些胡椒的香辣 糯米吃进了香味 食材复合香 皮劲道油香不腻~ 总体来说没有想象中那么好环境和服务质量还可以 味道来说趋于一般 而且多数菜式油腻感觉重 价格自然有些小贵 感觉一般~ 哈,"0,1,2,3,6,7","0,1,1,1,1,1,1,1",0
19,先说菜式，一共点了7样。总得来说，物无所值。如果大家想豪一把，不如去王品台塑牛排，广州、上海、北京都有分店。同样的价格，不仅能享用一流的菜式和环境，还能体验一流的服务。 说回港隆会的菜式。头盘蜗牛，卖相还可以，味道也过得去，但肯定对不起68元的价格。 汤点了两份，一份牛尾汤，一份蘑菇忌廉汤。韩式的牛尾汤，用料严重不足，总共只有两块牛尾，比正宗的韩式餐厅差远了。68元同样不值。蘑菇忌廉汤，也就是广东茶餐厅的一般水准。最气人的是，服务员硬要指着牛尾汤说是蘑菇忌廉汤，原因是牛尾汤里面有蘑菇，蘑菇忌廉汤里面没有蘑菇。连基本菜式都分不清的服务员，还好意思收10%的服务费？ 沙拉点的是日式的蟹子沙律，如果没记错的话，也是68元一份。味道还过得去。 主食我点的羊扒，男友点的牛小排。羊扒98元，有两件，对于女生来讲，分量还过得去。而且没有膻味，汁水也锁住了。男友的牛小排就大失水准，128元只有两小条，而且感觉食材不新鲜。 吃不饱，我们只好又点了一份鹅肝炒饭。这份炒饭还算比较满意，鹅肝比普通茶餐厅的用料好。 最后，再来说下内部装饰。这个确实还不错，一走进去，颇有点达芬奇密码的感觉。如果只是想去里面看看的朋友，不妨学聪明点，少点几样菜，就去坐坐。,"0,1,5","1,0,1,1,1,0,1,1",2
20,我是看了点评网才慕名去的 结果太失望了??环境差 感觉店好烂了 坐下来点了餐后发现竟然有蟑螂 而且不只一只 ==！ 一个餐饮店连基本的卫生都这样 真让人倒味口 炒面一上来 我就无语了 一团团的都粘在一起了 看起白惨惨的 就让人没食欲 朋友点的盖浇饭又太咸??炒的西兰花洗都没洗 上面都是小虫 让人怎么吃嘛 太太恶心太太失望,"0,2,7","0,1,0,1,1,1,1,0",3
21,这是我们第二次去豫园时尚，第一次吴地人家团购去的，虽然味道一般，但是服务和环境都不错，所以总的印象不错。但是这次去了回来一肚子火，搞什么呀，这家人家小家子气，做不大的！让顾客没有归属感！ 这次吃的避风塘，结果姜葱炒蚬的蚬不新鲜，还有一个是臭的。这家店的生意应该不错的，可是东西为什么不新鲜呢？？有问题！！吃的时候边上一桌的小朋友的粥里还吃出了一个橄榄核！想想也恶心！ 商场明明说了消费餐饮满99元，免费停车2小时，结果去换停车票时一定要办他们商场的会员卡，办就办吧，还身份证号码，手机号码，姓名一样不能少填，而且办理会员卡的MM一丝笑容都没有，大过年的，也不知道欠了她的还是少了她的！走之前，还丢了一句不冷不热的话，说‘下次来换停车券一定要带上卡，不过不消费是不行的！！’我也真是无语了……我知道商家是要以盈利为目的的，但是也不必搞得这么……哎！ 另外一件事情，更加证明了这家商场不会搞得大的！我们进门时看的表14点13分，出门时16点13分，就一分钟，却一定要加收5元应车费，去过无数家地下停车行了，从没遇见过这样子的事情，就算是电子记时器，人家也很人性化的，一般都是超时10分钟内不收费，这家，1分钟就要收5块钱，钱也就算了，不过最还生气的还是那个收费的，很神气啊，一句话也不搭理我们，就手一指显示器，头往天上看，受不了了……说难听点，不就是看门的，眼睛还长到脑袋顶上去了！从一个小小的收费门童就可以看得出这家商场的管理层的素质了！！ 这家商场的环境是不错，吃的买的在城隍庙这种地方也算是全了，不过怎么就开了这么长时间没有人气呢！！商场的领导们！好好想想吧！,"0,1","1,0,1,1,1,1,1,1",1
22,有史以来第一次因为团购写点评，太出乎我的意料了，大家一定要看清楚，千万千万千万不能在购买了。 打电话订的是1月9日下午送蛋糕。下午出去了，接到送蛋糕人打的电话，说你在家吗，我说在外面，还说你可以把蛋糕送过去，有人接收。他说还是等你回来需要本人签字，我说好吧，我大概下午4点左右就回去了。完事后，给送蛋糕的人打电话，你来送蛋糕吧，我回家了，此时是16:10分；他说好。我就在家等，左等不来右等不来，此时已经晚上18:00点了，送蛋糕的人打电话说，我在朝阳北路，你家怎么走，坐什么车能到。天哪，到底谁是配送员，还要问我怎么走，这点就让我很无奈，朝阳北路到十八里店南桥坐公交怎么也要1个多小时，正好赶上下班高峰，我就估计我的蛋糕肯定到不了。不过给妈妈过生日，没有蛋糕还是不太好，还是等等吧，时间就这样从我的饥饿感中走过。此时已是晚上八点了，送蛋糕的打电话说，还有两站地就到了，我一听总算有盼头了，那就开吃吧，两站地不过也就15分钟左右。家里人一边吃一边聊，不知不觉又过了一小时，送蛋糕的人又打电话说，还有两站地，我当时在想难道公交车一直在原地不动，我都想撞墙了。又过了15分钟，送蛋糕的终于来了，此时已经21：15分，我无奈的看着蛋糕，没想到更无奈的还在后面。打开盒子一看，我的天哪，这蛋糕是不是刚经历伊拉克战争了，草莓一个个病倒在蛋糕旁，我真想把蛋糕在扔会伊拉克去。再一想也是花钱了，不吃草莓还可以吃蛋糕，凑合吃吧。但是，蛋糕这样，我肯定要讨个说法。 第二天我给他们打电话，把情况和客服说了一下，她说留下电话，我稍后回复您。这一等就是24小时啊，等的我心都凉了。 第三天还是我主动给他打的电话，客服说加您QQ聊吧，把蛋糕的图片传给我看下，我说好的。就这样开始了一场唇舌战争，大家可以看下我的聊天记录，附后。 店家的意思就是说，蛋糕送过来有问题，就不能吃，吃了就不给解决。不知道他们是怎么开店到现在的。真是难以想象，杯具啊。 蛋糕 16:20:19  这个图片就是当时我们蛋糕送到你打开的那个样子是么 小妮子 16:20:32  当然是了  小妮子 16:21:26  而且你看其中一个草莓就知道，在路上是怎么颠簸的  小妮子 16:21:54  如果要是我诚心摆的，草莓的颜色根本就不是这样  蛋糕 16:23:49  这个挺抱歉的可能是我们派送员运送的途中颠颇的 小妮子 16:24:24  晚上21:20送到的，我是过生日，不是吃宵夜    小妮子 16:25:26  你先解决这次再说  蛋糕 16:25:57  蛋糕你现在是已经吃了是么 小妮子 16:26:12  吃了一半  小妮子 17:08:11  我要求在补偿我一个蛋糕  蛋糕 17:19:25  你的蛋糕现在都已经吃了一半我们现在就是没法给你在送蛋糕只能给您下次了 小妮子 17:20:00  我昨天给你们打电话，你们说给我回话，也没有回，还是今天我给你们打的  小妮子 17:20:39  我们是9号生日，今天都几号了，能不吃吗  小妮子 17:21:56  下次，有这一次就够了  小妮子 17:21:57  没有下次  蛋糕 17:22:11  我们这边客服挺多的那个客服接了电话我这边也不清楚我也是今天刚刚接到您的电话 小妮子 17:22:18  那是你们的问题  小妮子 17:22:21  不是我的问题  小妮子 17:25:37  让你们在补偿我一个，过分吗  小妮子 17:26:00  定好下午送蛋糕，结果晚上9点过才收到  蛋糕 17:26:04  但是现在蛋糕您已经吃了一半了只能说是给您下次做个不唱了 小妮子 17:26:46  你没事吧  小妮子 17:26:53  你送来的蛋糕我能不吃吗  小妮子 17:26:57  我是花钱了的  蛋糕 17:26:58  这个是我们这个新来的派送员对路途不熟悉把您需要的蛋糕给您送到那么晚 蛋糕 17:27:50  我知道但是我们这边要是说您没吃的话我们这边可以给您做个加大的然后给您送过去 小妮子 17:28:41  我怎么觉得这话听着这么别扭呢  小妮子 17:29:15  本来蛋糕那么晚送来就够闹心的了，我还不吃看着，我有病啊  蛋糕 17:43:38  这个真的没法解决你蛋糕都吃了，我们派送员给送的坏了要是蛋糕你没有吃了我们可以找我们的派送员解决我们跟他们也不是一个部门? 蛋糕 17:48:18  不是不解决是我给你找的解决方案你都不同意，我们公司也有我们公司的规定蛋糕给您送坏了这是我们这边的问题确实挺抱歉的，但是现在蛋糕你吃了，我们确实没有办法给你解决要是没吃的话给您做个加大都可以,"1,3,6","1,0,1,1,1,1,0,1",1
23,自选调料是要收费的，5块钱一位。如果是点冬荫功锅底的朋友就没有花这个五块钱的必要了。这是我个人认为的。 这个店的环境还是很好滴，是大厦楼上曾志伟大哥的那个火锅店的风格。因为是新开的，人不是很多。七点多去的，餐厅只有连我们在内的两桌人。哈哈，我喜欢！！所谓的泰式么也就是冬荫功锅底和调料台上几个东南亚口味的东东。 懒得动脑筋，就点了个套餐，没有选98的，选了个138的，它有个很好听的名字，不过我不记得了。两个人吃得很饱还没有吃完，估计三个女生就正好。好喜欢里面的鲈鱼片和粉条！金针菇也挺多的。 饮料点了茅根甘蔗水，38一扎。里面还放了马蹄，味道还不错。下回想来试试酸梅汤，价格一样。 至此，我还是很满意的，定了后天的位子，和姐妹们一起来。但是下面发生的就让我有点不乐意了。 过了9点，服务员一会儿来让我们填个意见表，再过一会儿来问我们要不要添点调料了，因为他们要撤调料台了。再过了一会儿就来叫我们买单，说是管收钱的人要走了。没过几分钟他们居然把我们的灯关了（或者他们的灯坏了）。终于吃不下去了，我走人了。发现八佰伴的电梯也停了，只能坐那个直上直下的电梯到负一楼停车场，再步行出去。,"0,1","1,0,1,1,1,1,1,1",1
24,上次带宝贝猫咪来看病 正好看到隔壁有这么一家店 只是当时没心情吃啊 今天晚饭就是这里解决的 牛肉泡馍还是可以的 只是凉皮十分十分的难吃 下次想试试看盖浇饭,0,"0,1,1,1,1,1,1,1",2
25,这家都是日式小包房，所以私密性很好，哈哈这个很重要，因为台子靠太近讲话不舒服嘛~ 进门脱鞋，然后放在个小柜子里，然后就保管好自己的钥匙，包房空间蛮小的，可是关上门就是自己的小天地也还不错啦 刺身拼盘，因为选的228的放题所以还有粉金枪鱼什么的，生鱼片口感偏绵软，两盆意思意思就作罢了 海胆，土黄色的，吃上去还是苦的，真的超级不新鲜啊，我都没敢动 蟹腿，肉还蛮多的，一条吃起来很爽，就是少了蟹的鲜味有点像在吃蟹肉棒 烤银鳕鱼，火候没掌握好，每次上来总有一块太焦了 烤鳗鱼，第一次看到切成条的，酱料很甜盖过了鳗鱼本身的味道 烤串，鸡胗、鸡软骨、明太子都不错，都好嚼劲兼且很香 牛肉火锅，说是寿喜烧但是即不甜也没有配生鸡蛋，牛肉几乎都是肥肉 铁板牛舌，非常的油，吃了两块就腻了 炸牛肉土豆泥饼，吃油炸的就是很过瘾~！土豆泥的甜味很像罗森的可乐壳 白脱玉米，因为白脱油的缘故，甜玉米就显得更加香甜了 草莓奶酒，其实就是草莓奶吧，完全木有酒味，可是还挺好喝的 巧克力芭菲，一块巧克力饼干一个巧克力冰激凌一点麦片，混在一起很好吃呀 冰激凌，香草、抹茶和香芒都不错，甜而不腻型的 服务员态度不错，算是有叫必应，但是漏单情况蛮严重的，话说日式自助的品质一是看食物的新鲜程度二就是不要漏单了，这是主要参考指标啊亲！,"0,1,2","1,0,1,1,1,1,1,1",1
26,家人送的票，灯光舞美都还不错 在里面看过阿星的节目，摇的拍子都坏了不少，节目设置比较囧，比较适合中年消费群体吧 一晃4~5年过去了,"0,1","1,0,1,1,1,1,1,1",1
27,团购区的，说是有那么多菜，团购的就极少，西兰花一共才3个，根本不像团购说的那么好，地方也小，点了几个菜结果服务员忘记了，最后上的豆腐皮还给坏了，让服务员尝特也说坏了，但是坚持说是新鲜的，态度极差，不会再去,1,"1,1,1,1,1,1,1,1",0
28,要的两会套餐，环境不是很好，人嘈杂，一点也不舒服，停车那叫一个麻烦，几乎让人麻烦的流眼泪， 品种还行吧，菜还算精致，鱼生很新鲜的感觉，海参汤还不错，鲍鱼差了些，木瓜炖燕窝还挺好吃的，要是人不是那么多，我还能接受 有种星座花草茶很有意思，我搞了两杯，就是冲不太开，长腿螃蟹不新鲜，而且很咸。 我觉得两个人520块钱的话，其实去别的地方可以吃的很舒服， 因为对环境的不能忍，估计以后不会去了！ 吃了哈根达斯薄荷味的，太让人惊艳了 海鲜一般吧,"0,1,2","1,0,1,1,1,1,1,1",1
29,找中午吃饭的地方，看到这家环境好就进去了，很多人是借地方消磨时光，但是服务和口味实在不敢恭维，点了2份主食每份等了半小时，加起来等了1个小时，毫不夸张！1个小时中把沙拉吃的干干净净，结果上课迟到咯。意面的味道实在很差，连番茄酱都舍不得放很多，饭也不行，晚上拉肚子，不知道是否有关,"0,2,3,6","0,1,1,0,1,1,1,1",2
30,名过其实了，这么多人说它好。 其实本来也就是一家做的好不错的本地菜馆，但是这么多人说它好，是不是a吃，第二次觉得就没那么灵了，第三次就是失望。姜米活鱼炒饭不咋的，芥菜老的要命。 服务么，这家店尽管收你10%的服务费，感觉服务水平和大陆的国营老字号差不多，时不时给人脸色。 价格相比于菜品和环境贵了；性价比不咋的。,"0,1,3","0,0,1,0,1,1,1,1",1
31,一直觉得肉燕很神奇呀，跟小馄饨一样，但皮子是用肉做的，同利的肉燕很好吃，真想买了带回家，可惜路上时间太长，怕坏了。,"0,1","1,0,1,1,1,1,1,1",1
32,肚子疼得厉害没什么味口 突然想起有一次肚子疼吃了过桥米线就不疼了 所以今天我又来了 人气很旺 随便吃吃还是可以的 但是小心点 别让锅把手给烫伤了 我今天就被烫了,0,"1,1,1,1,1,1,1,1",0
33,还是4月份团的呢，一直到快过期了才来吃。团的内容性价比还是很高的，不过就是东西太少，肯定还要再点的。 【小料自助】：团的套餐里没有小料，单点吧，9块钱一位，自助调制。还包括一些凉菜和水果，不过我们去那天只有西瓜，凉菜呢，就是泡菜和拌黄瓜什么的，一般。 【鸳鸯锅底】：其实辣锅基本没怎么吃，因为挺辣的，而且想起了之前报道过的老油事件……看着是现场开袋的红油，可是开锅后，服务员开始往外捞沫子……中间的菌汤挺咸，没喝两口。 【嫩牛肉】：这个是套餐里的，生的时候看着肉不厚，可是涮完了好大一片肉啊。肉质确实很嫩，而且腌制的挺入味，很好吃。 【羊肉丸】：这个也是套餐里的，姜放得挺多，可能是为了去膻味吧。丸子也挺咸的，不过羊肉味还是挺浓的，丸子也挺有质感。 【酸梅汤】：一大扎，不过吧，味道稍逊。得说没什么乌梅味，而且太甜了，放了很多冰块才稀释的刚刚好。 以下内容就都是我们单点的了，可见这次团购的额外支出，比团的钱多好几倍。好在大多数都可以要半分，粗字的不行，只能是细字的。 【海带丝】：这里的海带丝上来的时候，样子好特别。不知道底下埋的是什么，葱？冬瓜？还是萝卜？特别小的小碎粒儿，本还想有功夫尝尝是什么，后来也忘了。不过这的海带丝是我吃过最劲道的，有嚼劲。 【哈尔滨红肠】：这个居然也能涮着吃，要了半份，结果一片都没涮，当凉菜了。味道还可以，半份的量也不少。 【午餐肉】：肉质细嫩，味道不错，属于品质还可以的肉。 【红薯粉】：就是普通的粉条，没特劲道。 【豆皮】：没啥点评的，一般。 【魔芋】：还是魔芋丝比魔芋块好吃，下次不吃块的了。 【金针菇】：啊，火锅必点的，挺新鲜。 【生菜】：也是每次必点的，叶子片挺大，水灵。 【菠菜】：半份真的给的挺多噎，而且真实新鲜蔬菜，夸奖一个。 服务生挺负责的，环境还可以，最后临走的时候转奖还转出个30元代金券，哈哈。,"0,1,4","1,1,1,1,1,1,1,1",0
34,原本是想去东莱海上的，因为要等位子的关系，某人又开始不耐烦了，无奈转战别地，可是这个地，这个点能找得到不排队的地方还真是少呀，刚好看到这家比较的空就进去了，虽说是百年老店，可是因为藏得深的关系，人量还是比较的少，两个人点了两个菜一碗面，上菜速度很快，而且菜的味道也要比我想象中的要很多，最爱他家的草头圈子了，大肠的味道绝对是典型的上海菜的味道，搭配着撒过白酒的草头，就算再来一份我都能把它干光。而38元的红烧羊肉煲就有点虚了，一大份的菜里面有三分子二是粉丝，搭着几块小小的羊肉，不给力呀不给力，另外叫得二鲜面还是不错的，面比较的筋斗，汤的味道也不错，总得来说这家的菜还是不错的。但感觉这家餐厅味精放得可能有点小多，吃完了觉得口渴的慌，还有那天吃完我有拉肚子，可是另外那位没有事，所以也说不清楚是自己的问题还是店的问题了。,"0,4","1,1,1,1,1,1,1,0",1
35,我是冲着旺池煎包去的，其实是猪肉，不是怎么好吃。担担面味道不错，但是实在是太少，如果你点一碗的话。而且上次去吃感觉吃的东西又少又不新鲜。,"0,1","1,0,1,1,1,1,1,1",1
36,店里空调巨不给力。。只好放弃吃面。。 肉夹馍凉皮套餐+酸梅汤。。。 肉夹馍的饼不给力，肉太少 凉皮有股馊味。。而且都是断成一截一截的……很无语 吃完后果断拉肚子了。。。,"0,1","0,0,1,1,1,1,1,1",1
37,新开的，点了乌冬火锅...第二天拉肚子了- - 里面东西蛮多的，味道真的一般 东西很贵啊....土豆色拉貌似和罗森的味道很像 地方也很小真的不怎么样啊.......,1,"1,0,1,1,1,1,1,1",2
38,看了点评去的，说实话，让人很失望，菜的口味一般，点了四个菜，禅石豆腐没入味，芦荟什么鱼（不记得了）不新鲜，有点臭，石钵牛蛙和口水鸡味道还可以，就是份量太少了，而且上菜超级慢，结帐也慢。,"0,1,4","1,0,1,1,0,1,1,1",2
39,服务生还是不错，收盘很勤快。东西的味道一般般，品种也就这么回事。主要是冲着环境去的，卫生不行，取食物的时候，看到苍蝇在生食区飞舞，蚊子叮在棉花糖上。叫他们煮一份海鲜汤，要酸辣味的，结果弄得不酸也不辣。唉……更烦人的是买单的时候被告知4人能用一张优惠，人多的话要分开结算，真的很麻烦。那个大堂经理就等着我们当场下载优惠券！可是我当初明明看到他们自己的广告单上说连天阁的自助餐根本连优惠券也可以不用的。还好都是熟人，要不然糗大了！,"0,4,7","0,1,1,1,1,1,1,1",3
40,蛋糕的品种还不少，最近月饼上市了也有月饼卖。味道么就像楼下几位说的，重糖重油重口味，开始吃的时候感觉好满足，但是越吃越腻，到最后吃恶心了，几个礼拜都要绕着走。 蛋糕的价格不便宜，乳酪蛋糕一小块就要6块钱了，相比面包的价格又有点太便宜了，很大一个才3，4块 环境不太好，营业员阿姨会威武地挥着苍蝇拍随时将不良分子就地正法,"5,7","1,1,1,1,1,0,1,0",3
41,感觉味道比刚开始的时候强多了，红汤感觉不新鲜，服务员的态度让人很无语，结账时能不能不用一张苦瓜脸甩给客人？其它都还好。,"0,1,3","1,0,1,0,1,1,1,1",1
42,这次我决定不话痨了。我只说几句话。价格越来越贵，人越来越多，服务的小姑娘们显然没当过麻麻，面对众多吵闹喧天的孩子厌恶多过亲切（当然这孩子也真的够多的）。。。对家长也没个好声好气的。要是遇到你的卡过期了一天，哈！恭喜你！被她赚到了，怎么也不可能通融的。不过倒是够辛苦，老要拿个抹布擦来擦去的。最近又添了点新设备，孩子挺喜欢去玩的。话说只要能玩，孩子啥不喜欢啊。哎，小时候幸福真简单。长大后简单真幸福。妈呀对不起啊我又说了好几句。,"3,5","1,1,1,0,1,0,1,1",1
43,下午的时候去的，环境真是。。。 偌大的一个店里居然没有空调，服务员还骗我们说有。。。 后来指一指一落地小风扇告诉我们那个就是。。。 而且小风扇也不是谁都能吹到，还得好几桌抢着用，热得不行，呼吸完全不顺畅。。。 杏仁都是潮的。。。你要是回去加热好歹也专业点烤一烤，完全难吃 还有鸡翅。。。真舍得放油啊 最后开发票说发票机坏了。。。 特么的再也不会去了。。。,"0,2","0,1,0,1,1,1,1,1",2
44,第一次去 只是路过和朋友随便进去吃点东西?点了菜半天上不来 好不容易上来了菜里有吃出头发郁闷死了，不过部长挺好马上帮我们换了菜 只是已经没什么胃口了,7,"1,1,1,1,1,1,1,0",3
45,"菜单上的菜少得可怜,卤水,牛肉丸等菜单上根本没有.每天有特价菜. 砂锅鱼头(38)蛮不错,要是能再淡一点点就更好了. 豉椒鱼肚,不新鲜,还是偏咸. 牛肉丸挺弹的,卤水(拼鹅翼的话要贵些)类比较失望,且有只苍蝇一直在卤水区飞来停去. 外卖单没有,只有电话,说是打电话来直接点就好... 晚上有烧烤,比别家都要贵.","0,1,7","1,0,1,1,1,1,1,0",3
46,"新开没多久的店,想到以前吃的海鲜汤酥皮馋的不能行了就去了.进门没有人理,自己拉老公找位置坐下,坐了半天依然没有人理会.一直吼说要点单才跑来人.这里生意不是很好啊,人也不是很多,为什么服务生忙得跟要死了一样……要海鲜汤酥皮,服务生一脸迷茫的问我啥叫酥皮……我刚要解释才猛然意识到居然没有这个菜了.翻了翻菜单,咖啡种类很多,吃的比较少,且价位普遍涨了不止两个挡.老公说就要个意面随便吃吃吧,看旁边台点的牛排不怎样...那就要个意面.. 肉酱意面,脆脆骨,只要了这两个. 肉酱意面先上的,看起来卖相不错,开始拌面的时候发现面不够干...水没有沥干净,严重影响口感.且肉酱没有什么味道.淡且无味,连番茄酱味也吃不出,怎会这么红……严重怀疑是不是用了什么廉价调料…… 脆脆骨,大失败!!!就是成品串好的鸡脆骨串油炸的,吃了两口老公就放下了,说吃起来蛮恶心的味道,我尝了下...这个油有问题,并且炸好的肉串也没有洒任何调料就这样端上来. 唉唉...没有要咖啡,估计这种地方的咖啡也不会怎样. 最后总结:一流的价格,二流的环境,三流的服务,四流的口味. 以后应该也不会再去了.性价比太低鸟...吃到老公拉肚子……","0,2,3,6,7","0,1,1,0,1,1,1,0",3
