text,dim_labels,sentiment_labels,risk_label
羊排烤得非常香，外焦里嫩，一点膻味都没有，配的薯条也很脆。,"0,1","1,1,1,1,1,1,1,1",0
价格太贵了，一盘青菜都要四五十，份量还特别少，太不值了。,"5","1,1,1,1,1,0,1,1",2
吃出了钢丝球的碎屑，幸好没吞下去，太可怕了，再也不来了。,"7","1,1,1,1,1,1,1,0",3
咖喱饭味道浓郁，鸡肉也很嫩，就是稍微有点咸，但整体不错。,"0","1,1,1,1,1,1,1,1",0
店里全是油烟味，吃完一身味，通风系统太差了。,"2","1,1,0,1,1,1,1,1",1
海鲜粥熬得很浓稠，虾蟹都很鲜甜，份量也大，两个人吃刚好。,"0,1,5","1,1,1,1,1,1,1,1",0
叫服务员加汤叫了三次都没来，最后还是自己去拿的汤壶。,"3","1,1,1,0,1,1,1,1",1
点了一个招牌汉堡，肉饼很厚实，汁水丰富，面包也烤过很香。,"0","1,1,1,1,1,1,1,1",0
结账时发现团购券用不了，说是有使用限制，但页面上根本没有写明。,"5","1,1,1,1,1,0,1,1",2
厨房就在大厅旁边，看到厨师边抽烟边炒菜，瞬间没胃口了。,"7,2","1,1,0,1,1,1,1,0",3
水煮鱼片的鱼肉很嫩，辣椒也够香，配菜里面的豆芽特别好吃。,"0","1,1,1,1,1,1,1,1",0
餐具都是破的，杯子有缺口，盘子也有裂痕，感觉很廉价。,"2","1,1,0,1,1,1,1,1",1
牛肉炒面牛肉只有两三片，全是面条，价格还不便宜，太坑了。,"5,0","1,1,1,1,1,0,1,1",2
食材非常新鲜，三文鱼厚切口感很好，甜虾也很甜，性价比高。,"1,5","1,1,1,1,1,1,1,1",0
上菜速度奇慢无比，旁边桌比我们晚来都已经吃完了，我们才上一个凉菜。,"4","1,1,1,1,0,1,1,1",2
汤里面有一只小飞虫，叫了服务员过来，说重新换一碗，结果只是把虫子挑出来又端回来了。,"7,3","1,1,1,0,1,1,1,0",3
芝士焗龙虾做得很好，芝士很多，龙虾肉质紧实弹牙，非常满意。,"0,1","1,1,1,1,1,1,1,1",0
店内空调坏了，大热天的吃火锅简直是蒸桑拿，热得受不了。,"2","1,1,0,1,1,1,1,1",1
黄焖鸡米饭鸡肉很柴，汤汁也不够浓郁，还不如路边摊的好吃。,"0","0,1,1,1,1,1,1,1",1
服务员态度特别好，小朋友打翻了饮料，马上帮忙清理还送了一杯新的。,"3","1,1,1,1,1,1,1,1",0
外卖少了餐具，用手抓着吃的，体验非常不好。,"6","1,1,1,1,1,1,0,1",1
菜品种类很多，选择丰富，但味道都中规中矩，没什么特别惊艳的。,"0","1,1,1,1,1,1,1,1",0
青菜里吃出了一条虫子，叫服务员来看，她竟然说这个季节有虫很正常。,"7,3","1,1,1,0,1,1,1,0",3
红烧鱼做得非常入味，鱼肉细嫩，配的豆腐也很吸汁，下饭神器。,"0","1,1,1,1,1,1,1,1",0
座位非常拥挤，和旁边桌几乎背靠背，完全没有隐私感。,"2","1,1,0,1,1,1,1,1",1
号称是鲜活海鲜，结果上来的螃蟹都是死的，肉都散了。,"1","1,0,1,1,1,1,1,1",2
拉面汤底浓郁，面条非常有嚼劲，叉烧肉也很大片，很满足。,"0","1,1,1,1,1,1,1,1",0
餐厅音乐放得太大声了，想安静吃个饭都不行，吵得头疼。,"2","1,1,0,1,1,1,1,1",1
手撕包菜做得很地道，酸辣适中，火候也刚好，很开胃。,"0","1,1,1,1,1,1,1,1",0
点的水煮牛肉，牛肉片裹了很多淀粉，吃起来滑滑的，没有肉感。,"0","0,1,1,1,1,1,1,1",1
服务员全程冷漠脸，问什么都是不知道、不清楚，培训太不到位了。,"3","1,1,1,0,1,1,1,1",2
炒饭粒粒分明，配料也很足，虾仁、火腿、鸡蛋都有，很好吃。,"0,5","1,1,1,1,1,1,1,1",0
厕所卫生太差了，又脏又臭，门还关不上，太影响心情了。,"2","1,1,0,1,1,1,1,1",1
点的烤鱼有很重的腥味，而且烤得不够焦，一点都不香。,"0,1","0,0,1,1,1,1,1,1",2
酸梅汤很好喝，是店里自制的，不会太甜，解辣非常棒。,"0","1,1,1,1,1,1,1,1",0
广告上说有免费小吃，来了说送完了，这不是欺骗顾客吗。,"5","1,1,1,1,1,0,1,1",2
沙拉里的生菜都不新鲜了，有些叶子都发黄了，还拿来卖。,"1","1,0,1,1,1,1,1,1",2
烤串味道很好，肉质很嫩，孜然和辣椒的比例刚刚好，非常香。,"0","1,1,1,1,1,1,1,1",0
上菜的时候服务员直接把菜从我头顶端过去，太危险了。,"3","1,1,1,0,1,1,1,1",1
饺子皮很厚，馅料也很少，一口下去全是面，不好吃。,"0","0,1,1,1,1,1,1,1",1
餐厅有儿童游乐区，带娃吃饭很方便，大人可以安心吃饭。,"2","1,1,1,1,1,1,1,1",0
吃完之后发现碗底有一只蟑螂，整个人都不好了，太恶心了。,"7","1,1,1,1,1,1,1,0",3
夫妻肺片麻辣鲜香，牛肉和牛肚都切得很薄，很入味。,"0","1,1,1,1,1,1,1,1",0
分量太少，一份咖喱蟹只有两只小螃蟹，全是咖喱汁。,"5","1,1,1,1,1,0,1,1",2
服务员很勤快，主动加水换骨碟，眼力见非常好。,"3","1,1,1,1,1,1,1,1",0
面点都是凉的，像是加热了好几次的，口感非常差。,"0","0,1,1,1,1,1,1,1",1
菜里有异物，一小块塑料，不知道从哪里掉进去的。,"7","1,1,1,1,1,1,1,0",3
糖醋排骨做得很好，甜酸适中，骨头也很少，全是肉。,"0","1,1,1,1,1,1,1,1",0
店里全是苍蝇飞来飞去，赶都赶不走，太不卫生了。,"2,7","1,1,0,1,1,1,1,0",3
鸡公煲份量挺大，两个人吃足够了，味道也不错，就是偏咸。,"0,5","1,1,1,1,1,1,1,1",0
服务员结账的时候算错了，多算了饮料的钱，还好我看了小票。,"5,3","1,1,1,0,1,0,1,1",1
比萨饼底很薄很脆，芝士拉丝很长，配料也很丰富，很好吃。,"0","1,1,1,1,1,1,1,1",0
吃出了变质的味道，感觉是隔夜菜重新热了一下，很失望。,"1,7","1,0,1,1,1,1,1,0",3
炸酱面味道正宗，炸酱很香，面条也很筋道，价格实惠。,"0,5","1,1,1,1,1,1,1,1",0
排队排了半个小时，结果进去以后服务根本跟不上，叫半天没人。,"3,4","1,1,1,0,0,1,1,1",2
海鲜炒饭虾仁很多，鱿鱼也很新鲜，饭炒得粒粒分明。,"0,1","1,1,1,1,1,1,1,1",0
菜单上的图片和实物严重不符，实物又少又难看。,"5","1,1,1,1,1,0,1,1",1
牛肉丸很有嚼劲，牛筋丸更好吃，汤底也很清甜。,"0","1,1,1,1,1,1,1,1",0
服务员在桌边聊天很大声，完全不顾及客人的感受。,"3","1,1,1,0,1,1,1,1",1
柠檬茶味道很清新，不会太甜，配火锅非常解腻。,"0","1,1,1,1,1,1,1,1",0
吃到一半发现碗里有个黑色的东西，仔细一看是只小蟑螂，当场就吐了。,"7,3","1,1,1,0,1,1,1,0",3
红烧肉入口即化，肥而不腻，配上鹌鹑蛋，非常下饭。,"0","1,1,1,1,1,1,1,1",0
空调开得太足了，坐在风口下面，冻得直哆嗦。,"2","1,1,0,1,1,1,1,1",1
店里的WiFi信号太差了，根本连不上，想发个朋友圈都不行。,"2","1,1,0,1,1,1,1,1",0
砂锅粥熬得很绵密，食材也很新鲜，就是等的时间太久了。,"1,4","1,1,1,1,0,1,1,1",1
烤鱼非常好吃，外皮烤得焦香，里面的肉很嫩，配菜也丰富。,"0","1,1,1,1,1,1,1,1",0
服务员摔碎了一个盘子，碎片溅到我们脚边，一句道歉都没有。,"3","1,1,1,0,1,1,1,1",1
豆花很嫩滑，甜汤底也不会太甜，上面加的红豆很绵密。,"0","1,1,1,1,1,1,1,1",0
价格涨了不少，但品质不但没涨反而下降了，不会再去了。,"5","1,1,1,1,1,0,1,1",2
食物味道不错，但是吃完之后全家都拉肚子了，也不知道是哪个菜有问题。,"7,0","1,1,1,1,1,1,1,0",3
麻辣烫选择很多，菜品新鲜，汤底也很够味，性价比很高。,"0,1,5","1,1,1,1,1,1,1,1",0
店里的椅子都是坏的，坐上去摇摇晃晃的，差点摔跤。,"2","1,1,0,1,1,1,1,1",1
虾饺皮薄馅多，虾肉很弹牙，一咬开还有汤汁流出来。,"0,1","1,1,1,1,1,1,1,1",0
给了差评之后，商家打电话来要求删评论，还说要给补偿。,"3","1,1,1,0,1,1,1,1",2
牛排要的五分熟，上来是全熟的，而且煎焦了，有苦味。,"0","0,1,1,1,1,1,1,1",2
卫生情况整体不错，桌面地面都很干净，用餐环境舒适。,"2,7","1,1,1,1,1,1,1,1",0
明明是点的不辣的，结果上来是辣的，问服务员说换不了。,"0,3","0,1,1,0,1,1,1,1",1
三明治的面包烤得很脆，里面的鸡肉也很嫩，配的沙拉也新鲜。,"0,1","1,1,1,1,1,1,1,1",0
吃完之后嘴巴发麻，感觉食材不新鲜，像是放了很久的。,"1,7","1,0,1,1,1,1,1,0",3
蛋挞外酥里嫩，蛋液很滑，甜度也刚刚好，一口气吃了三个。,"0","1,1,1,1,1,1,1,1",0
服务员太死板了，通融一下都不行，一点人情味都没有。,"3","1,1,1,0,1,1,1,1",1
红烧牛肉面牛肉很大块，炖得很烂，汤头也很浓郁，面条筋道。,"0","1,1,1,1,1,1,1,1",0
外卖送错了餐，打电话过去还让我自己送回去换，太气人了。,"6,3","1,1,1,0,1,1,0,1",2
环境很有特色，装修是复古风，拍照很好看，适合打卡。,"2","1,1,1,1,1,1,1,1",0
餐具洗得不干净，上面还有油渍，自己重新擦了一遍。,"7,2","1,1,0,1,1,1,1,0",2
北京烤鸭非常地道，鸭皮酥脆，鸭肉鲜嫩，酱料也正宗。,"0","1,1,1,1,1,1,1,1",0
排了快一个小时队，结果进去说招牌菜都卖完了，白排了。,"3,4","1,1,1,0,0,1,1,1",2
糕点做得非常精致，口感细腻，甜度适中，老人小孩都爱吃。,"0","1,1,1,1,1,1,1,1",0
菜太咸了，咸得发苦，感觉放了大半包盐，根本没法吃。,"0","0,1,1,1,1,1,1,1",1
海鲜不新鲜，吃了之后嗓子不舒服，怀疑是用了不新鲜的材料。,"1,7","1,0,1,1,1,1,1,0",3
服务非常周到，从进门到离开都有人引导，体验很好。,"3","1,1,1,1,1,1,1,1",0
火锅食材不新鲜，肉片颜色发暗，而且闻起来有异味。,"1","1,0,1,1,1,1,1,1",2
糖水味道很好，红豆沙熬得非常细腻，陈皮味也很足。,"0","1,1,1,1,1,1,1,1",0
服务员收盘子的时候差点把汤洒我身上，也没有道歉。,"3","1,1,1,0,1,1,1,1",1
葱油饼做得酥脆可口，葱香浓郁，搭配牛肉汤很完美。,"0","1,1,1,1,1,1,1,1",0
店里使用的油有股怪味，炸出来的东西都不香，吃完反胃。,"7","1,1,1,1,1,1,1,0",3
酸辣粉酸辣开胃，粉条很有弹性，花生米也很香脆。,"0","1,1,1,1,1,1,1,1",0




"红烧肉炖得很烂，入口即化，酱香味十足，配饭绝了。","0","1,1,1,1,1,1,1,1",0,28
"等了二十分钟才有人来点菜，服务员全程黑着脸，像欠了她钱一样。","3,4","1,1,1,0,0,1,1,1",1,27
"毛肚非常脆嫩，火锅底料麻辣鲜香，就是价格稍微贵了点。","0,1,5","1,1,1,1,1,0,1,1",1,28
"螃蟹是死的，肉已经散了，有股腥臭味，跟服务员说了还死不承认。","1,3,7","1,0,1,0,1,1,1,0",3,28
"小笼包皮薄汁多，肉馅新鲜，姜醋搭配刚刚好，非常满意。","0,1","1,1,1,1,1,1,1,1",0,24
"上菜顺序乱七八糟，汤最后才上，甜品反而先来了，毫无章法。","4","1,1,1,1,0,1,1,1",1,24
"用餐环境很优雅，背景音乐舒缓，适合情侣约会和商务宴请。","2","1,1,1,1,1,1,1,1",0,24
"羊肉串烤得焦香，肥瘦相间，孜然味道很正，就是等得久了点。","0,4","1,1,1,1,0,1,1,1",1,28
"吃完饭发现盘子里有一只小强，当场差点吐出来，太恶心了。","7","1,1,1,1,1,1,1,0",3,24
"酸菜鱼鱼肉嫩滑无刺，酸菜很开胃，汤都可以喝两碗。","0","1,1,1,1,1,1,1,1",0,22
"服务员叫了三次加水都没反应，最后自己去饮水机倒的。","3","1,1,1,0,1,1,1,1",1,23
"鹅肝入口即化，牛排火候精准，配菜也很有水准，值得这个价格。","0,5","1,1,1,1,1,1,1,1",0,26
"青菜炒得太老了，黄黄的，而且油太多，一点都不清爽。","0","0,1,1,1,1,1,1,1",1,22
"汤里吃出了一截钢丝球，叫了经理过来只是道了个歉，没有任何补偿。","7,3","1,1,1,0,1,1,1,0",3,28
"虾饺皇皮很薄，虾仁很大颗，笋丁增加口感，早茶必点。","0,1","1,1,1,1,1,1,1,1",0,24
"团购券到店被告知节假日不能用，但页面上根本没写清楚。","5,3","1,1,1,0,1,0,1,1",2,27
"烤鸭皮酥肉嫩，片工很好，甜面酱也地道，就是排队太久。","0,4","1,1,1,1,0,1,1,1",1,26
"吃完回家上吐下泻，怀疑是食材不新鲜或者卫生有问题。","1,7","1,0,1,1,1,1,1,0",3,24
"麻婆豆腐麻辣鲜香，豆腐很嫩，肉末也炒得很香，很下饭。","0","1,1,1,1,1,1,1,1",0,24
"地面湿滑差点摔跤，也没有放警示牌，存在安全隐患。","2","1,1,0,1,1,1,1,1",1,22
"牛肉面汤头浓郁，牛肉炖得很烂，面条也筋道，分量很足。","0,5","1,1,1,1,1,1,1,1",0,24
"服务员全程玩手机，叫了几次才慢悠悠过来，态度散漫。","3","1,1,1,0,1,1,1,1",1,23
"三文鱼很新鲜，厚切口感扎实，芥末也是现磨的，很正宗。","1","1,1,1,1,1,1,1,1",0,22
"点了个招牌炒饭，结果饭是夹生的，蛋炒得也很碎。","0","0,1,1,1,1,1,1,1",1,22
"饮料里漂着一只小飞虫，让换一杯，结果换来的杯子里还有。","7,3","1,1,1,0,1,1,1,0",3,26
"宫保鸡丁酸甜适中，花生米很脆，鸡肉很嫩，很棒的家常味。","0","1,1,1,1,1,1,1,1",0,24
"椅子都是摇晃的，坐上去嘎吱响，感觉很危险，随时会散架。","2","1,1,0,1,1,1,1,1",1,25
"叉烧肉偏肥，而且有点焦味，和以前吃过的差太多了。","0","0,1,1,1,1,1,1,1",1,22
"馄饨汤很鲜美，馄饨皮薄馅大，紫菜和虾皮也放得很足。","0","1,1,1,1,1,1,1,1",0,24
"结账时说系统故障不能刷卡，害得我跑出去取现金。","3,5","1,1,1,0,1,0,1,1",1,25
"凤爪蒸得软糯入味，花生垫底也很香，每次来都必点。","0","1,1,1,1,1,1,1,1",0,22
"吃着吃着一只苍蝇飞到菜上停着，赶走了又飞回来，太倒胃口了。","7,2","1,1,0,1,1,1,1,0",3,28
"海鲜大咖分量十足，鲍鱼扇贝都很新鲜，辣度也刚好。","1","1,1,1,1,1,1,1,1",0,22
"服务员把菜汤洒在我包上了，只说了一句对不起就走了。","3","1,1,1,0,1,1,1,1",1,24
"糖醋里脊外酥里嫩，酱汁酸甜可口，小朋友特别喜欢。","0","1,1,1,1,1,1,1,1",0,22
"等了一个小时才上菜，菜都是凉的，明显是提前做好放着的。","4,0","1,1,1,1,0,1,1,1",2,27
"店里的抹布味道很大，擦过的桌子都有股馊味，太恶心了。","2,7","1,1,0,1,1,1,1,0",3,27
"皮蛋瘦肉粥熬得很绵密，皮蛋和瘦肉都很多，早餐的不二选择。","0","1,1,1,1,1,1,1,1",0,26
"自助餐菜品补充速度太慢，很多盘子都空了也没人加。","3,4","1,1,1,0,0,1,1,1",1,25
"牛肉火锅锅底很香，牛肉丸弹牙，就是座位太挤了。","0,2","1,1,0,1,1,1,1,1",1,23
"花蛤有很多都是闭口的，还有沙子没吐干净，体验很差。","1","1,0,1,1,1,1,1,1",2,25
"榴莲酥外皮酥脆，榴莲馅很足，味道浓郁，推荐给榴莲爱好者。","0","1,1,1,1,1,1,1,1",0,26
"服务员上菜的时候大拇指都戳进菜里了，真的太不卫生了。","3,7","1,1,1,0,1,1,1,0",3,27
"烤鱼鱼皮很脆，肉也入味，配菜里面的豆皮土豆都很好吃。","0","1,1,1,1,1,1,1,1",0,26
"价格偏高，分量也少，感觉不值这个价，不会再来了。","5","1,1,1,1,1,0,1,1",2,24
"筷子是一次性的，但是打开发现发霉了，太可怕了。","7,2","1,1,0,1,1,1,1,0",3,24
"炸鸡翅外酥里嫩，腌得很入味，配上蜂蜜芥末酱绝了。","0","1,1,1,1,1,1,1,1",0,24
"点了个海鲜粥，里面居然有沙子，牙都硌到了。","1","1,0,1,1,1,1,1,1",2,22
"店里的灯光太暗了，看菜单都费劲，吃个饭像在拍鬼片。","2","1,1,0,1,1,1,1,1",1,26
"生日来吃饭，送了一碗长寿面，还有服务员唱歌，很暖心。","3","1,1,1,1,1,1,1,1",0,26
"红烧排骨全是骨头，没什么肉，一份还卖58，太坑了。","0,5","0,1,1,1,1,0,1,1",2,27
"沙拉吧的菜叶都不新鲜了，有些都蔫了，酱料也只剩下两种。","1","1,0,1,1,1,1,1,1",2,26
"披萨饼底很薄很脆，芝士拉丝效果满分，配料也很丰富。","0","1,1,1,1,1,1,1,1",0,24
"排了半小时队，进去后服务员说没有预订的位置了，白等了。","3,4","1,1,1,0,0,1,1,1",2,27
"咸蛋黄焗南瓜做得很好，咸蛋黄味足，南瓜也很甜糯。","0","1,1,1,1,1,1,1,1",0,24
"吃完后嘴唇发麻发肿，怀疑是菜里放了什么不好的东西。","1,7","1,0,1,1,1,1,1,0",3,26
"水煮鱼片很嫩，辣椒很香，里面加的豆芽和莴笋都很好吃。","0","1,1,1,1,1,1,1,1",0,26
"服务员态度非常傲慢，问什么都爱答不理，好像欠她钱。","3","1,1,1,0,1,1,1,1",1,24
"烤生蚝蒜蓉放得很多，很香，生蚝也很大只，非常新鲜。","0,1","1,1,1,1,1,1,1,1",0,26
"茶位费收了8块一个人，但茶水就是普通茶叶，太贵了。","5","1,1,1,1,1,0,1,1",1,25
"煎饺底部煎得金黄酥脆，肉馅鲜美多汁，蘸醋吃特别香。","0","1,1,1,1,1,1,1,1",0,26
"椅子套都是脏的，上面有明显的污渍，也没有更换。","2","1,1,0,1,1,1,1,1",1,22
"牛肉炒河粉锅气十足，牛肉很嫩，河粉也炒得很入味。","0","1,1,1,1,1,1,1,1",0,24
"服务员把隔壁桌的菜上到我们桌，发现后又端走了。","3","1,1,1,0,1,1,1,1",1,23
"红烧肥肠处理得很干净，没有异味，烧得很烂很入味。","0","1,1,1,1,1,1,1,1",0,22
"说好的八折优惠，结账时说这个折扣已经取消了，出尔反尔。","5,3","1,1,1,0,1,0,1,1",2,27
"鹅肝酱配面包很好吃，鹅肝很细腻，入口即化，很高级。","0","1,1,1,1,1,1,1,1",0,24
"厨房就在门口，看到厨师直接用手拿菜装盘，没戴手套。","7,2","1,1,0,1,1,1,1,0",3,27
"冬阴功汤酸辣开胃，虾很大只，菌菇也很多，很地道。","0","1,1,1,1,1,1,1,1",0,22
"服务员收盘子特别急，我还没吃完就把盘子收走了。","3","1,1,1,0,1,1,1,1",1,23
"空心菜炒得碧绿爽脆，蒜蓉很香，火候掌握得很好。","0","1,1,1,1,1,1,1,1",0,24
"大闸蟹都是空壳，没什么蟹黄蟹膏，感觉被坑了。","1","1,0,1,1,1,1,1,1",2,23
"黑椒牛柳很嫩，黑椒味很足，里面的洋葱和青椒也很好吃。","0","1,1,1,1,1,1,1,1",0,26
"店里有人吸烟，服务员也不管，烟味特别重，呛得难受。","2,3","1,1,0,0,1,1,1,1",1,27
"叉烧肠粉肠皮很滑，叉烧肉很多，酱油也调得很好。","0","1,1,1,1,1,1,1,1",0,24
"吃了一口发现饭是馊的，叫人来换，结果只是把表面的饭翻了一下。","1,7,3","1,0,1,0,1,1,1,0",3,29
"沸腾鱼很香，辣椒花椒很多，鱼肉也很大片，非常过瘾。","0","1,1,1,1,1,1,1,1",0,26
"桌子都没擦干净，还有黏黏的东西，自己拿纸巾擦了。","2","1,1,0,1,1,1,1,1",1,24
"奶茶味道很正宗，茶味重奶味浓，珍珠也Q弹，好喝。","0","1,1,1,1,1,1,1,1",0,22
"结账时发现多算了两个菜，要不是看单子就被坑了。","5,3","1,1,1,0,1,0,1,1",2,27
"辣子鸡做得外酥里嫩，辣椒很香，就是肉少了点，全是辣椒。","0","1,1,1,1,1,1,1,1",0,26
"厕所的水龙头是坏的，洗手都没水，卫生状况堪忧。","2","1,1,0,1,1,1,1,1",1,23
"榴莲披萨榴莲肉很多，芝士拉丝，饼底也很薄脆。","0","1,1,1,1,1,1,1,1",0,22
"服务员当着我的面翻白眼，素质太差了，不会再来了。","3","1,1,1,0,1,1,1,1",1,24
"回锅肉做得不错，五花肉炒得焦香，蒜苗也很提味。","0","1,1,1,1,1,1,1,1",0,24
"等位区连凳子都没有，站着等了四十分钟，体验太差了。","2,4","1,1,0,1,0,1,1,1",1,27
"清蒸鱼火候刚好，鱼肉很鲜甜，葱丝姜丝也很解腥。","0,1","1,1,1,1,1,1,1,1",0,24
"吃出来一根头发，很长，叫服务员过来，她捏走就没了。","7,3","1,1,1,0,1,1,1,0",3,27
"蒜蓉粉丝蒸扇贝很好吃，扇贝很大个，蒜蓉也很香。","0","1,1,1,1,1,1,1,1",0,22
"服务员一直推荐贵的菜，点了便宜的就给脸色看。","3,5","1,1,1,0,1,0,1,1",2,25
"担担面麻辣味很足，肉臊炒得很香，面条也有嚼劲。","0","1,1,1,1,1,1,1,1",0,22
"餐具上都还有水渍，没洗干净，感觉卫生不达标。","7,2","1,1,0,1,1,1,1,0",2,26
"牛排要七分熟上来了五分熟的，带血水，重新做了还是不行。","0","0,1,1,1,1,1,1,1",2,26
"杨枝甘露很好喝，芒果很甜，西柚粒也很多，口感丰富。","0","1,1,1,1,1,1,1,1",0,24
"地下车库没有指引，找了半天车位，差点把车刮了。","2","1,1,0,1,1,1,1,1",1,25
"炒时蔬新鲜爽口，种类也很多，西兰花荷兰豆都有。","0,1","1,1,1,1,1,1,1,1",0,24
"叫了加菜，等了半小时没来，再去问说没下单，白等了。","3,4","1,1,1,0,0,1,1,1",1,28
"生煎包底部煎得金黄焦脆，肉馅紧实多汁，很美味。","0","1,1,1,1,1,1,1,1",0,22
"桌上放了菜单，但是很多菜都说没有了，可选择性太小。","3","1,1,1,0,1,1,1,1",1,27
"油炸花生米是回锅的，吃起来不脆，还有一股陈油味。","0,7","0,1,1,1,1,1,1,0",2,28
"甜品拼盘非常精致，每一样都好吃，特别是提拉米苏。","0","1,1,1,1,1,1,1,1",0,24
"空调直吹餐桌，菜没凉人先凉了，冻得根本坐不住。","2","1,1,0,1,1,1,1,1",1,24
"酱骨架炖得很烂很入味，肉很多，啃起来很过瘾。","0","1,1,1,1,1,1,1,1",0,22
"承诺赠送的小菜没有送，结账时问起才说忘记了。","3","1,1,1,0,1,1,1,1",1,24
"肥牛卷质量很好，肥瘦适中，涮几秒就能吃，很嫩。","0,1","1,1,1,1,1,1,1,1",0,24
"店面门头很小，差点没找到，招牌也不醒目。","2","1,1,0,1,1,1,1,1",0,20




"酸梅汤味道很正，是现煮的，不会太甜，配火锅很解腻。","0","1,1,1,1,1,1,1,1",0,24
"等了快一个小时才上齐菜，期间催了三次都没用，效率太低了。","4,3","1,1,1,0,0,1,1,1",1,28
"羊肉很新鲜，没有膻味，切得也很薄，涮几下就能吃了。","1","1,1,1,1,1,1,1,1",0,22
